a	a |
bị	b ị |
bia	b i a |
bía	b í a |
bìa	b ì a |
bĩa	b ĩ a |
bỉa	b ỉ a |
bịa	b ị a |
bích	b í c h |
bịch	b ị c h |
biếc	b i ế c |
biệc	b i ệ c |
biêm	b i ê m |
biếm	b i ế m |
biềm	b i ề m |
biễm	b i ễ m |
biểm	b i ể m |
biệm	b i ệ m |
biên	b i ê n |
biến	b i ế n |
biền	b i ề n |
biễn	b i ễ n |
biển	b i ể n |
biện	b i ệ n |
biêng	b i ê n g |
biếng	b i ế n g |
biềng	b i ề n g |
biễng	b i ễ n g |
biểng	b i ể n g |
biệng	b i ệ n g |
biếp	b i ế p |
biệp	b i ệ p |
biết	b i ế t |
biệt	b i ệ t |
biêu	b i ê u |
biếu	b i ế u |
biều	b i ề u |
biễu	b i ễ u |
biểu	b i ể u |
biệu	b i ệ u |
bim	b i m |
bím	b í m |
bìm	b ì m |
bĩm	b ĩ m |
bỉm	b ỉ m |
bịm	b ị m |
bin	b i n |
bín	b í n |
bìn	b ì n |
bĩn	b ĩ n |
bỉn	b ỉ n |
bịn	b ị n |
binh	b i n h |
bính	b í n h |
bình	b ì n h |
bĩnh	b ĩ n h |
bỉnh	b ỉ n h |
bịnh	b ị n h |
bíp	b í p |
bịp	b ị p |
bít	b í t |
bịt	b ị t |
biu	b i u |
bíu	b í u |
bìu	b ì u |
bĩu	b ĩ u |
bỉu	b ỉ u |
bịu	b ị u |
bo	b o |
bó	b ó |
bò	b ò |
bô	b ô |
bõ	b õ |
bố	b ố |
bồ	b ồ |
bỗ	b ỗ |
bỏ	b ỏ |
bơ	b ơ |
bổ	b ổ |
bọ	b ọ |
bớ	b ớ |
bờ	b ờ |
bỡ	b ỡ |
bộ	b ộ |
bở	b ở |
bợ	b ợ |
boa	b o a |
bóa	b ó a |
bòa	b ò a |
bõa	b õ a |
bỏa	b ỏ a |
bọa	b ọ a |
boác	b o á c |
boắc	b o ắ c |
boạc	b o ạ c |
boặc	b o ặ c |
boách	b o á c h |
boạch	b o ạ c h |
boai	b o a i |
boái	b o á i |
boài	b o à i |
boãi	b o ã i |
boải	b o ả i |
boại	b o ạ i |
boam	b o a m |
boám	b o á m |
boàm	b o à m |
boăm	b o ă m |
boãm	b o ã m |
boắm	b o ắ m |
boằm	b o ằ m |
boẵm	b o ẵ m |
boảm	b o ả m |
boẳm	b o ẳ m |
boạm	b o ạ m |
boặm	b o ặ m |
boan	b o a n |
boán	b o á n |
boàn	b o à n |
boăn	b o ă n |
boãn	b o ã n |
boắn	b o ắ n |
boằn	b o ằ n |
boẵn	b o ẵ n |
boản	b o ả n |
boẳn	b o ẳ n |
boạn	b o ạ n |
boặn	b o ặ n |
boang	b o a n g |
boáng	b o á n g |
boàng	b o à n g |
boăng	b o ă n g |
boãng	b o ã n g |
boắng	b o ắ n g |
boằng	b o ằ n g |
boẵng	b o ẵ n g |
boảng	b o ả n g |
boẳng	b o ẳ n g |
boạng	b o ạ n g |
boặng	b o ặ n g |
boanh	b o a n h |
boánh	b o á n h |
boành	b o à n h |
boãnh	b o ã n h |
boảnh	b o ả n h |
boạnh	b o ạ n h |
boao	b o a o |
boáo	b o á o |
boào	b o à o |
boão	b o ã o |
boảo	b o ả o |
boạo	b o ạ o |
boáp	b o á p |
boạp	b o ạ p |
boát	b o á t |
boắt	b o ắ t |
boạt	b o ạ t |
boặt	b o ặ t |
boay	b o a y |
boáy	b o á y |
boày	b o à y |
boãy	b o ã y |
boảy	b o ả y |
boạy	b o ạ y |
bóc	b ó c |
bốc	b ố c |
bọc	b ọ c |
bộc	b ộ c |
boe	b o e |
bóe	b ó e |
bòe	b ò e |
bõe	b õ e |
bỏe	b ỏ e |
bọe	b ọ e |
boéc	b o é c |
boẹc	b o ẹ c |
boem	b o e m |
boém	b o é m |
boèm	b o è m |
boẽm	b o ẽ m |
boẻm	b o ẻ m |
boẹm	b o ẹ m |
boen	b o e n |
boén	b o é n |
boèn	b o è n |
boẽn	b o ẽ n |
boẻn	b o ẻ n |
boẹn	b o ẹ n |
boeng	b o e n g |
boéng	b o é n g |
boèng	b o è n g |
boẽng	b o ẽ n g |
boẻng	b o ẻ n g |
boẹng	b o ẹ n g |
boeo	b o e o |
boéo	b o é o |
boèo	b o è o |
boẽo	b o ẽ o |
boẻo	b o ẻ o |
boẹo	b o ẹ o |
boét	b o é t |
boẹt	b o ẹ t |
boi	b o i |
bói	b ó i |
bòi	b ò i |
bôi	b ô i |
bõi	b õ i |
bối	b ố i |
bồi	b ồ i |
bỗi	b ỗ i |
bỏi	b ỏ i |
bơi	b ơ i |
bổi	b ổ i |
bọi	b ọ i |
bới	b ớ i |
bời	b ờ i |
bỡi	b ỡ i |
bội	b ộ i |
bởi	b ở i |
bợi	b ợ i |
bom	b o m |
bóm	b ó m |
bòm	b ò m |
bôm	b ô m |
bõm	b õ m |
bốm	b ố m |
bồm	b ồ m |
bỗm	b ỗ m |
bỏm	b ỏ m |
bơm	b ơ m |
bổm	b ổ m |
bọm	b ọ m |
bớm	b ớ m |
bờm	b ờ m |
bỡm	b ỡ m |
bộm	b ộ m |
bởm	b ở m |
bợm	b ợ m |
bon	b o n |
bón	b ó n |
bòn	b ò n |
bôn	b ô n |
bõn	b õ n |
bốn	b ố n |
bồn	b ồ n |
bỗn	b ỗ n |
bỏn	b ỏ n |
bơn	b ơ n |
bổn	b ổ n |
bọn	b ọ n |
bớn	b ớ n |
bờn	b ờ n |
bỡn	b ỡ n |
bộn	b ộ n |
bởn	b ở n |
bợn	b ợ n |
bong	b o n g |
bóng	b ó n g |
bòng	b ò n g |
bông	b ô n g |
bõng	b õ n g |
bống	b ố n g |
bồng	b ồ n g |
bỗng	b ỗ n g |
bỏng	b ỏ n g |
bổng	b ổ n g |
bọng	b ọ n g |
bộng	b ộ n g |
boóc	b o ó c |
boọc	b o ọ c |
boong	b o o n g |
boóng	b o ó n g |
boòng	b o ò n g |
boõng	b o õ n g |
boỏng	b o ỏ n g |
boọng	b o ọ n g |
bóp	b ó p |
bốp	b ố p |
bọp	b ọ p |
bớp	b ớ p |
bộp	b ộ p |
bợp	b ợ p |
bót	b ó t |
bốt	b ố t |
bọt	b ọ t |
bớt	b ớ t |
bột	b ộ t |
bợt	b ợ t |
bu	b u |
bú	b ú |
bù	b ù |
bũ	b ũ |
bủ	b ủ |
bư	b ư |
bụ	b ụ |
bứ	b ứ |
bừ	b ừ |
bữ	b ữ |
bử	b ử |
bự	b ự |
bua	b u a |
búa	b ú a |
bùa	b ù a |
bũa	b ũ a |
bủa	b ủ a |
bưa	b ư a |
bụa	b ụ a |
bứa	b ứ a |
bừa	b ừ a |
bữa	b ữ a |
bửa	b ử a |
bựa	b ự a |
buân	b u â n |
buấn	b u ấ n |
buần	b u ầ n |
buẫn	b u ẫ n |
buẩn	b u ẩ n |
buận	b u ậ n |
buâng	b u â n g |
buấng	b u ấ n g |
buầng	b u ầ n g |
buẫng	b u ẫ n g |
buẩng	b u ẩ n g |
buậng	b u ậ n g |
buất	b u ấ t |
buật	b u ậ t |
buây	b u â y |
buấy	b u ấ y |
buầy	b u ầ y |
buẫy	b u ẫ y |
buẩy	b u ẩ y |
buậy	b u ậ y |
búc	b ú c |
bục	b ụ c |
bức	b ứ c |
bực	b ự c |
buê	b u ê |
buế	b u ế |
buề	b u ề |
buễ	b u ễ |
buể	b u ể |
buệ	b u ệ |
buếch	b u ế c h |
buệch	b u ệ c h |
buênh	b u ê n h |
buếnh	b u ế n h |
buềnh	b u ề n h |
buễnh	b u ễ n h |
buểnh	b u ể n h |
buệnh	b u ệ n h |
bui	b u i |
búi	b ú i |
bùi	b ù i |
bũi	b ũ i |
bủi	b ủ i |
bưi	b ư i |
bụi	b ụ i |
bứi	b ứ i |
bừi	b ừ i |
bữi	b ữ i |
bửi	b ử i |
bựi	b ự i |
bum	b u m |
búm	b ú m |
bùm	b ù m |
bũm	b ũ m |
bủm	b ủ m |
bưm	b ư m |
bụm	b ụ m |
bứm	b ứ m |
bừm	b ừ m |
bữm	b ữ m |
bửm	b ử m |
bựm	b ự m |
bun	b u n |
bún	b ú n |
bùn	b ù n |
bũn	b ũ n |
bủn	b ủ n |
bưn	b ư n |
bụn	b ụ n |
bứn	b ứ n |
bừn	b ừ n |
bữn	b ữ n |
bửn	b ử n |
bựn	b ự n |
bung	b u n g |
búng	b ú n g |
bùng	b ù n g |
bũng	b ũ n g |
bủng	b ủ n g |
bưng	b ư n g |
bụng	b ụ n g |
bứng	b ứ n g |
bừng	b ừ n g |
bững	b ữ n g |
bửng	b ử n g |
bựng	b ự n g |
buơ	b u ơ |
buớ	b u ớ |
buờ	b u ờ |
buỡ	b u ỡ |
buở	b u ở |
buợ	b u ợ |
buốc	b u ố c |
buộc	b u ộ c |
bước	b ư ớ c |
bược	b ư ợ c |
buôi	b u ô i |
buối	b u ố i |
buồi	b u ồ i |
buỗi	b u ỗ i |
buổi	b u ổ i |
buội	b u ộ i |
bươi	b ư ơ i |
bưới	b ư ớ i |
bười	b ư ờ i |
bưỡi	b ư ỡ i |
bưởi	b ư ở i |
bượi	b ư ợ i |
buôm	b u ô m |
buốm	b u ố m |
buồm	b u ồ m |
buỗm	b u ỗ m |
buổm	b u ổ m |
buộm	b u ộ m |
bươm	b ư ơ m |
bướm	b ư ớ m |
bườm	b ư ờ m |
bưỡm	b ư ỡ m |
bưởm	b ư ở m |
bượm	b ư ợ m |
buôn	b u ô n |
buốn	b u ố n |
buồn	b u ồ n |
buỗn	b u ỗ n |
buổn	b u ổ n |
buộn	b u ộ n |
bươn	b ư ơ n |
bướn	b ư ớ n |
bườn	b ư ờ n |
bưỡn	b ư ỡ n |
bưởn	b ư ở n |
bượn	b ư ợ n |
buông	b u ô n g |
buống	b u ố n g |
buồng	b u ồ n g |
buỗng	b u ỗ n g |
buổng	b u ổ n g |
buộng	b u ộ n g |
bương	b ư ơ n g |
bướng	b ư ớ n g |
bường	b ư ờ n g |
bưỡng	b ư ỡ n g |
bưởng	b ư ở n g |
bượng	b ư ợ n g |
bướp	b ư ớ p |
bượp	b ư ợ p |
buốt	b u ố t |
buột	b u ộ t |
bướt	b ư ớ t |
bượt	b ư ợ t |
bươu	b ư ơ u |
bướu	b ư ớ u |
bườu	b ư ờ u |
bưỡu	b ư ỡ u |
bưởu	b ư ở u |
bượu	b ư ợ u |
búp	b ú p |
bụp	b ụ p |
bút	b ú t |
bụt	b ụ t |
bứt	b ứ t |
bựt	b ự t |
bưu	b ư u |
bứu	b ứ u |
bừu	b ừ u |
bữu	b ữ u |
bửu	b ử u |
bựu	b ự u |
buy	b u y |
búy	b ú y |
bùy	b ù y |
bũy	b ũ y |
bủy	b ủ y |
bụy	b ụ y |
buya	b u y a |
buýa	b u ý a |
buỳa	b u ỳ a |
buỹa	b u ỹ a |
buỷa	b u ỷ a |
buỵa	b u ỵ a |
buých	b u ý c h |
buỵch	b u ỵ c h |
buyên	b u y ê n |
buyến	b u y ế n |
buyền	b u y ề n |
buyễn	b u y ễ n |
buyển	b u y ể n |
buyện	b u y ệ n |
buyết	b u y ế t |
buyệt	b u y ệ t |
buyn	b u y n |
buýn	b u ý n |
buỳn	b u ỳ n |
buỹn	b u ỹ n |
buỷn	b u ỷ n |
buỵn	b u ỵ n |
buynh	b u y n h |
buýnh	b u ý n h |
buỳnh	b u ỳ n h |
buỹnh	b u ỹ n h |
buỷnh	b u ỷ n h |
buỵnh	b u ỵ n h |
buýp	b u ý p |
buỵp	b u ỵ p |
buýt	b u ý t |
buỵt	b u ỵ t |
buyu	b u y u |
buýu	b u ý u |
buỳu	b u ỳ u |
buỹu	b u ỹ u |
buỷu	b u ỷ u |
buỵu	b u ỵ u |
by	b y |
bý	b ý |
bỳ	b ỳ |
bỹ	b ỹ |
bỷ	b ỷ |
bỵ	b ỵ |
ca	c a |
cá	c á |
cà	c à |
cã	c ã |
cả	c ả |
cạ	c ạ |
các	c á c |
cấc	c ấ c |
cắc	c ắ c |
cạc	c ạ c |
cậc	c ậ c |
cặc	c ặ c |
cách	c á c h |
cạch	c ạ c h |
cai	c a i |
cái	c á i |
cài	c à i |
cãi	c ã i |
cải	c ả i |
cại	c ạ i |
cam	c a m |
cám	c á m |
càm	c à m |
câm	c â m |
căm	c ă m |
cãm	c ã m |
cấm	c ấ m |
cầm	c ầ m |
cắm	c ắ m |
cằm	c ằ m |
cẫm	c ẫ m |
cẵm	c ẵ m |
cảm	c ả m |
cẩm	c ẩ m |
cẳm	c ẳ m |
cạm	c ạ m |
cậm	c ậ m |
cặm	c ặ m |
can	c a n |
cán	c á n |
càn	c à n |
cân	c â n |
căn	c ă n |
cãn	c ã n |
cấn	c ấ n |
cần	c ầ n |
cắn	c ắ n |
cằn	c ằ n |
cẫn	c ẫ n |
cẵn	c ẵ n |
cản	c ả n |
cẩn	c ẩ n |
cẳn	c ẳ n |
cạn	c ạ n |
cận	c ậ n |
cặn	c ặ n |
cang	c a n g |
cáng	c á n g |
càng	c à n g |
câng	c â n g |
căng	c ă n g |
cãng	c ã n g |
cấng	c ấ n g |
cầng	c ầ n g |
cắng	c ắ n g |
cằng	c ằ n g |
cẫng	c ẫ n g |
cẵng	c ẵ n g |
cảng	c ả n g |
cẩng	c ẩ n g |
cẳng	c ẳ n g |
cạng	c ạ n g |
cậng	c ậ n g |
cặng	c ặ n g |
canh	c a n h |
cánh	c á n h |
cành	c à n h |
cãnh	c ã n h |
cảnh	c ả n h |
cạnh	c ạ n h |
cao	c a o |
cáo	c á o |
cào	c à o |
cão	c ã o |
cảo	c ả o |
cạo	c ạ o |
cáp	c á p |
cấp	c ấ p |
cắp	c ắ p |
cạp	c ạ p |
cập	c ậ p |
cặp	c ặ p |
cát	c á t |
cất	c ấ t |
cắt	c ắ t |
cạt	c ạ t |
cật	c ậ t |
cặt	c ặ t |
cau	c a u |
cáu	c á u |
càu	c à u |
câu	c â u |
cãu	c ã u |
cấu	c ấ u |
cầu	c ầ u |
cẫu	c ẫ u |
cảu	c ả u |
cẩu	c ẩ u |
cạu	c ạ u |
cậu	c ậ u |
cay	c a y |
cáy	c á y |
cày	c à y |
cây	c â y |
cãy	c ã y |
cấy	c ấ y |
cầy	c ầ y |
cẫy	c ẫ y |
cảy	c ả y |
cẩy	c ẩ y |
cạy	c ạ y |
cậy	c ậ y |
cha	c h a |
chá	c h á |
chà	c h à |
chã	c h ã |
chả	c h ả |
chạ	c h ạ |
chác	c h á c |
chấc	c h ấ c |
chắc	c h ắ c |
chạc	c h ạ c |
chậc	c h ậ c |
chặc	c h ặ c |
chách	c h á c h |
chạch	c h ạ c h |
chai	c h a i |
chái	c h á i |
chài	c h à i |
chãi	c h ã i |
chải	c h ả i |
chại	c h ạ i |
cham	c h a m |
chám	c h á m |
chàm	c h à m |
châm	c h â m |
chăm	c h ă m |
chãm	c h ã m |
chấm	c h ấ m |
chầm	c h ầ m |
chắm	c h ắ m |
chằm	c h ằ m |
chẫm	c h ẫ m |
chẵm	c h ẵ m |
chảm	c h ả m |
chẩm	c h ẩ m |
chẳm	c h ẳ m |
chạm	c h ạ m |
chậm	c h ậ m |
chặm	c h ặ m |
chan	c h a n |
chán	c h á n |
chàn	c h à n |
chân	c h â n |
chăn	c h ă n |
chãn	c h ã n |
chấn	c h ấ n |
chần	c h ầ n |
chắn	c h ắ n |
chằn	c h ằ n |
chẫn	c h ẫ n |
chẵn	c h ẵ n |
chản	c h ả n |
chẩn	c h ẩ n |
chẳn	c h ẳ n |
chạn	c h ạ n |
chận	c h ậ n |
chặn	c h ặ n |
chang	c h a n g |
cháng	c h á n g |
chàng	c h à n g |
châng	c h â n g |
chăng	c h ă n g |
chãng	c h ã n g |
chấng	c h ấ n g |
chầng	c h ầ n g |
chắng	c h ắ n g |
chằng	c h ằ n g |
chẫng	c h ẫ n g |
chẵng	c h ẵ n g |
chảng	c h ả n g |
chẩng	c h ẩ n g |
chẳng	c h ẳ n g |
chạng	c h ạ n g |
chậng	c h ậ n g |
chặng	c h ặ n g |
chanh	c h a n h |
chánh	c h á n h |
chành	c h à n h |
chãnh	c h ã n h |
chảnh	c h ả n h |
chạnh	c h ạ n h |
chao	c h a o |
cháo	c h á o |
chào	c h à o |
chão	c h ã o |
chảo	c h ả o |
chạo	c h ạ o |
cháp	c h á p |
chấp	c h ấ p |
chắp	c h ắ p |
chạp	c h ạ p |
chập	c h ậ p |
chặp	c h ặ p |
chát	c h á t |
chất	c h ấ t |
chắt	c h ắ t |
chạt	c h ạ t |
chật	c h ậ t |
chặt	c h ặ t |
chau	c h a u |
cháu	c h á u |
chàu	c h à u |
châu	c h â u |
chãu	c h ã u |
chấu	c h ấ u |
chầu	c h ầ u |
chẫu	c h ẫ u |
chảu	c h ả u |
chẩu	c h ẩ u |
chạu	c h ạ u |
chậu	c h ậ u |
chay	c h a y |
cháy	c h á y |
chày	c h à y |
chây	c h â y |
chãy	c h ã y |
chấy	c h ấ y |
chầy	c h ầ y |
chẫy	c h ẫ y |
chảy	c h ả y |
chẩy	c h ẩ y |
chạy	c h ạ y |
chậy	c h ậ y |
che	c h e |
ché	c h é |
chè	c h è |
chê	c h ê |
chẽ	c h ẽ |
chế	c h ế |
chề	c h ề |
chễ	c h ễ |
chẻ	c h ẻ |
chể	c h ể |
chẹ	c h ẹ |
chệ	c h ệ |
chéc	c h é c |
chẹc	c h ẹ c |
chếch	c h ế c h |
chệch	c h ệ c h |
chem	c h e m |
chém	c h é m |
chèm	c h è m |
chêm	c h ê m |
chẽm	c h ẽ m |
chếm	c h ế m |
chềm	c h ề m |
chễm	c h ễ m |
chẻm	c h ẻ m |
chểm	c h ể m |
chẹm	c h ẹ m |
chệm	c h ệ m |
chen	c h e n |
chén	c h é n |
chèn	c h è n |
chên	c h ê n |
chẽn	c h ẽ n |
chến	c h ế n |
chền	c h ề n |
chễn	c h ễ n |
chẻn	c h ẻ n |
chển	c h ể n |
chẹn	c h ẹ n |
chện	c h ệ n |
cheng	c h e n g |
chéng	c h é n g |
chèng	c h è n g |
chẽng	c h ẽ n g |
chẻng	c h ẻ n g |
chẹng	c h ẹ n g |
chênh	c h ê n h |
chếnh	c h ế n h |
chềnh	c h ề n h |
chễnh	c h ễ n h |
chểnh	c h ể n h |
chệnh	c h ệ n h |
cheo	c h e o |
chéo	c h é o |
chèo	c h è o |
chẽo	c h ẽ o |
chẻo	c h ẻ o |
chẹo	c h ẹ o |
chép	c h é p |
chếp	c h ế p |
chẹp	c h ẹ p |
chệp	c h ệ p |
chét	c h é t |
chết	c h ế t |
chẹt	c h ẹ t |
chệt	c h ệ t |
chêu	c h ê u |
chếu	c h ế u |
chều	c h ề u |
chễu	c h ễ u |
chểu	c h ể u |
chệu	c h ệ u |
chi	c h i |
chí	c h í |
chì	c h ì |
chĩ	c h ĩ |
chỉ	c h ỉ |
chị	c h ị |
chia	c h i a |
chía	c h í a |
chìa	c h ì a |
chĩa	c h ĩ a |
chỉa	c h ỉ a |
chịa	c h ị a |
chích	c h í c h |
chịch	c h ị c h |
chiếc	c h i ế c |
chiệc	c h i ệ c |
chiêm	c h i ê m |
chiếm	c h i ế m |
chiềm	c h i ề m |
chiễm	c h i ễ m |
chiểm	c h i ể m |
chiệm	c h i ệ m |
chiên	c h i ê n |
chiến	c h i ế n |
chiền	c h i ề n |
chiễn	c h i ễ n |
chiển	c h i ể n |
chiện	c h i ệ n |
chiêng	c h i ê n g |
chiếng	c h i ế n g |
chiềng	c h i ề n g |
chiễng	c h i ễ n g |
chiểng	c h i ể n g |
chiệng	c h i ệ n g |
chiếp	c h i ế p |
chiệp	c h i ệ p |
chiết	c h i ế t |
chiệt	c h i ệ t |
chiêu	c h i ê u |
chiếu	c h i ế u |
chiều	c h i ề u |
chiễu	c h i ễ u |
chiểu	c h i ể u |
chiệu	c h i ệ u |
chim	c h i m |
chím	c h í m |
chìm	c h ì m |
chĩm	c h ĩ m |
chỉm	c h ỉ m |
chịm	c h ị m |
chin	c h i n |
chín	c h í n |
chìn	c h ì n |
chĩn	c h ĩ n |
chỉn	c h ỉ n |
chịn	c h ị n |
chinh	c h i n h |
chính	c h í n h |
chình	c h ì n h |
chĩnh	c h ĩ n h |
chỉnh	c h ỉ n h |
chịnh	c h ị n h |
chíp	c h í p |
chịp	c h ị p |
chít	c h í t |
chịt	c h ị t |
chiu	c h i u |
chíu	c h í u |
chìu	c h ì u |
chĩu	c h ĩ u |
chỉu	c h ỉ u |
chịu	c h ị u |
cho	c h o |
chó	c h ó |
chò	c h ò |
chô	c h ô |
chõ	c h õ |
chố	c h ố |
chồ	c h ồ |
chỗ	c h ỗ |
chỏ	c h ỏ |
chơ	c h ơ |
chổ	c h ổ |
chọ	c h ọ |
chớ	c h ớ |
chờ	c h ờ |
chỡ	c h ỡ |
chộ	c h ộ |
chở	c h ở |
chợ	c h ợ |
choa	c h o a |
chóa	c h ó a |
chòa	c h ò a |
chõa	c h õ a |
chỏa	c h ỏ a |
chọa	c h ọ a |
choác	c h o á c |
choắc	c h o ắ c |
choạc	c h o ạ c |
choặc	c h o ặ c |
choách	c h o á c h |
choạch	c h o ạ c h |
choai	c h o a i |
choái	c h o á i |
choài	c h o à i |
choãi	c h o ã i |
choải	c h o ả i |
choại	c h o ạ i |
choam	c h o a m |
choám	c h o á m |
choàm	c h o à m |
choăm	c h o ă m |
choãm	c h o ã m |
choắm	c h o ắ m |
choằm	c h o ằ m |
choẵm	c h o ẵ m |
